ID,Age,County
8001,48.3243128900374,San_Francisco
8002,30.3411250943863,San Mateo 
8003,12.498653571904, San Francisco
8004,46.2771067857853,San Mateo 
8005,37.3302860369594,Marin
8006,71.8159492829339,San Francisco
8007,31.7254545171415,San  Mateo
8008,70.0327942310154,Marin 
8009,42.0146679356125,SanFrancisco
8010,40.6375389197296,San Mateo 
8011,56.5392416576018,San  Mateo
8012,41.7450620329628,SF
8013,61.2407293888739,Marin County
8014,63.2671651995988,Marin 
8015,37.9420543211766,San_Francisco
8016,63.9675537753106,SanFrancisco
8017,61.9169290091316,San Mateo 
8018,59.0418365160284,San Francisco
8019,67.9348791966658,San Mateo
8020,61.4443302936241,San_Francisco
8021,41.7669397286769,San_Francisco
8022,44.1134570756428,Marin
8023,74.371479146269, San Mateo
8024,54.8822285334461, San Francisco
8025,41.0969608479354,San  Mateo
8026,13.0439271120182,San-Mateo
8027,37.4234938974697,San Mateo 
8028,32.7783861622477,San Francisco
8029,80.2984059608945,SF
8030,104.704778652282,San  Mateo
8031,44.502458722812,San Mateo
8032,75.5330813017885,San  Mateo
8033,33.7803931219385,San_Francisco
8034,49.1015444783234,SF
8035,37.2117524967157,San Mateo 
8036,41.232880060313,San Francisco
8037,60.1440440203247,San-Mateo
8038,72.5843839447344, San Francisco
8039,69.5127530501189,SanFrancisco
8040,47.5079241351779,San  Mateo
8041,58.5667315852135,SF
8042,58.3745271976407, San Mateo
8043,58.7093297406657,SF
8044,45.914758123798,San-Mateo
8045,56.047069842713, San Mateo
8046,63.8871559430103,San_Francisco
8047,97.4613132719312, San Mateo
8048,71.5194057035116,San Mateo 
8049,56.7076955027499,San Mateo 
8050,65.0685646630652,San Mateo 
8051,63.2877255473628,San Mateo 
8052,28.1823468747984,San_Francisco
8053,41.5445830172689,SanFrancisco
8054,73.6680407813443,San Mateo 
8055,81.6965357857638,Marin
8056,95.6171073833545, San Mateo
8057,8.6908589843331,Marin County
8058,41.837760607376,Marin
8059,56.0202913270827,San Mateo
8060,63.9322615534569,Marin County
8061,69.7636773696668,Marin
8062,44.3187353299715,San Mateo 
8063,11.5546506286515, San Francisco
8064,26.5256040158335,SanFrancisco
8065,70.8856548641298,Marin 
8066,47.3414379650852, San Francisco
8067,66.8975408254847,San Mateo
8068,42.5681490352101,San-Mateo
8069,70.951677044952,Marin County
8070,68.5083135481603,Marin
8071,20.4278933483722, San Francisco
8072,31.547301193252,San  Mateo
8073,48.3019512572725,Marin County
8074,32.6697991023111,San Mateo
8075,63.5008472575422,San Mateo 
8076,48.3859018842159,San  Mateo
8077,47.4881477907645,San Mateo
8078,42.2333782918127, San Mateo
8079,50.3365478945466,San_Francisco
8080,27.473868211937,Marin 
8081,54.3670362319784,Marin 
8082,84.8607372983186,SF
8083,47.608429296795,SF
8084,59.7235990991507,SF
8085,52.8273703686615,Marin 
8086,56.1593529389351,San Mateo
8087,69.881626756115,San-Mateo
8088,39.6437645086903,SF
8089,33.8572722136077,Marin 
8090,11.5364207358157, San Mateo
8091,22.2172298096706,San Mateo
8092,58.5734004038472,San Mateo
8093,44.1243716225312,San  Mateo
8094,95.5999757360987,San  Mateo
8095,26.7097847732162, San Francisco
8096,74.81735244145,Marin
8097,20.0983228613738,San-Mateo
8098,45.3672734381342,Marin 
8099,33.502665286809,SanFrancisco
8100,23.5165372515882,Marin County
8101,51.580273432957,Marin 
8102,47.8151685922989,Marin 
8103,68.1104983594748,San_Francisco
8104,69.5074921613042, San Francisco
8105,68.8616589860528,San Francisco
8106,49.6605422900249,San_Francisco
8107,35.5680481879938,San-Mateo
8108,56.0108279543464,Marin 
8109,31.9376574905285,San  Mateo
8110,77.7538889269183,San Mateo
8111,63.3977218046094, San Mateo
8112,50.1228474285589,San-Mateo
8113,55.303327439793,San Mateo
8114,8.77808506422311,Marin
8115,65.0595439114733,Marin
8116,50.1884630112282,San Francisco
8117,29.90315932024, San Francisco
8118,101.584955484749,Marin County
8119,64.0262283609627,San_Francisco
8120,87.5847647551933,SanFrancisco
8121,40.498766213107,SanFrancisco
8122,57.3615987907959,Marin 
8123,52.0708126498281,San  Mateo
8124,56.9268334358606,Marin County
8125,34.6327005352155,San Francisco
8126,71.9827785780868,San Mateo
